Importance,Category,Task
93,Core,Key information into computer equipment to create layouts for client or supervisor.
91,Core,"Review final layouts and suggest improvements, as needed."
90,Core,"Determine size and arrangement of illustrative material and copy, and select style and size of type."
89,Core,"Develop graphics and layouts for product illustrations, company logos, and Web sites."
88,Core,"Create designs, concepts, and sample layouts, based on knowledge of layout principles and esthetic design concepts."
87,Core,Use computer software to generate new images.
86,Core,Prepare digital files for printing.
82,Core,Confer with clients to discuss and determine layout design.
81,Core,Research the target audience of projects.
79,Core,"Draw and print charts, graphs, illustrations, and other artwork, using computer."
78,Core,"Mark up, paste, and assemble final layouts to prepare layouts for printer."
78,Core,"Study illustrations and photographs to plan presentation of materials, products, or services."
78,Core,"Maintain archive of images, photos, or previous work products."
75,Core,Prepare notes and instructions for workers who assemble and prepare final layouts for printing.
75,Core,"Prepare illustrations or rough sketches of material, discussing them with clients or supervisors and making necessary changes."
63,Core,Research new software or design concepts.
50,Core,"Produce still and animated graphics for on-air and taped portions of television news broadcasts, using electronic video equipment."
46,Supplemental,"Photograph layouts, using camera, to make layout prints for supervisors or clients."
46,Supplemental,Write or edit copy for clients.
