Plot,Species5,Species
1,Achmi,Achillea millefolium(lanulosa)
1,Agrsm,Agropyron smithii
1,Amoca,Amorpha canescens
1,Andge,Andropogon gerardi
1,Asctu,Asclepias tuberosa
1,Astca,Astragalus canadensis
1,Baple,Baptisia leucantha
1,Boucu,Bouteloua curtipendula
1,Bougr,Bouteloua gracilis
1,Broin,Bromus inermis
1,Bucda,Buchloe dactyloides
1,Calca,Calamagrostis canadensis
1,Corpa,Coreopsis palmata
1,Elyca,Elymus canadensis
1,Koecr,Koeleria cristata
1,Leeor,Leersia oryzoides
1,Lesca,Lespedeza capitata
1,Liaas,Liatris aspera
1,Luppe,Lupinus perennis
1,Monfi,Monarda fistulosa
1,Panvi,Panicum virgatum
1,Petca,Petalostemum candidum
1,Petpu,Petalostemum purpureum
1,Petvi,Petalostemum villosum
1,Poapr,Poa pratensis
1,Rudse,Rudbeckia serotina
1,Schsc,Schizachyrium scoparium
1,Solne,Solidago nemoralis
1,Solri,Solidago rigida
1,Sornu,Sorghastrum nutans
1,Spocr,Sporobolus cryptandrus
1,Stisp,Stipa spartea
1,Vicvi,Vicia villosa
1,Zizau,Zizia aurea
2,Lesca,Lespedeza capitata
3,Asctu,Asclepias tuberosa
3,Liaas,Liatris aspera
3,Monfi,Monarda fistulosa
3,Panvi,Panicum virgatum
3,Solri,Solidago rigida
4,Agrre,Agropyron repens
4,Agrsm,Agropyron smithii
4,Andge,Andropogon gerardi
4,Boucu,Bouteloua curtipendula
4,Bougr,Bouteloua gracilis
4,Bucda,Buchloe dactyloides
4,Calca,Calamagrostis canadensis
4,Elyca,Elymus canadensis
4,Koecr,Koeleria cristata
4,Leeor,Leersia oryzoides
4,Panvi,Panicum virgatum
4,Poapr,Poa pratensis
4,Schsc,Schizachyrium scoparium
4,Sornu,Sorghastrum nutans
4,Spocr,Sporobolus cryptandrus
5,Andge,Andropogon gerardi
6,Panvi,Panicum virgatum
6,Schsc,Schizachyrium scoparium
7,Amoca,Amorpha canescens
7,Elyca,Elymus canadensis
7,Lesca,Lespedeza capitata
