simulation,opt_N,opt_f,opt_t,opt_x,opt_g1,opt_g2,opt_g3,n_feasible
1,11000.0,50.0,15.0,0.30000000000000004,2850751.2737465585,0.6001680104817859,0.9636917880639687,10103
2,11000.0,50.0,5.0,0.0,2355281.9425646304,0.6201551114315879,0.9483210675921968,13104
3,11000.0,50.0,10.0,0.30000000000000004,3112225.070289815,0.6001644573418718,0.9673768186740114,10939
4,11000.0,50.0,10.0,0.30000000000000004,2904548.0199196567,0.6000693695703658,0.965750598416732,10734
5,11000.0,50.0,7.0,0.30000000000000004,2695798.087292543,0.6001003038125997,0.9689391937497969,11778
6,11000.0,50.0,13.0,0.30000000000000004,2799363.4813553155,0.6001450281807057,0.9664495021602093,10266
7,11000.0,45.0,7.0,0.0,2957163.925729621,0.6012616245947879,0.9466956458360015,12744
8,11000.0,50.0,10.0,0.30000000000000004,2491202.4156028414,0.6001429203977522,0.9675124808426421,10855
9,11000.0,50.0,12.0,0.30000000000000004,2839079.4825709616,0.6001771265212943,0.9656636286090982,10522
10,11000.0,50.0,12.0,0.30000000000000004,2367028.6878597257,0.6001946447835658,0.9671742405461343,10518
11,11000.0,50.0,9.0,0.30000000000000004,2543984.837566017,0.6001492593868923,0.9680467921292771,11107
12,11000.0,50.0,6.0,0.0,2603002.5155196525,0.6111566342995108,0.9477923686690197,12024
13,11000.0,50.0,6.0,0.0,2844948.356609784,0.6068263159221983,0.9428196173916014,12834
14,12000.0,50.0,13.0,0.4,2771630.422807744,0.6000962302153894,0.9722432982411259,10398
15,11000.0,50.0,12.0,0.30000000000000004,2712208.8262637453,0.6001845023074218,0.9671722997660773,10433
16,11000.0,50.0,8.0,0.30000000000000004,2080187.9667522078,0.6001138994039588,0.9685323160064164,11235
17,11000.0,50.0,6.0,0.30000000000000004,2953968.0645426996,0.6001094901103157,0.9689846681028663,12204
18,11000.0,50.0,13.0,0.30000000000000004,2464757.986141217,0.6002061983358453,0.9649932869014746,10271
19,11000.0,50.0,9.0,0.0,2084138.494853948,0.6171369833535587,0.9477322775992274,11234
20,11000.0,50.0,10.0,0.30000000000000004,3169289.310315692,0.6001586838595774,0.965755018374563,10863
21,11000.0,50.0,10.0,0.30000000000000004,2332395.180574528,0.6001391971801007,0.9681118824164806,11105
22,11000.0,50.0,5.0,0.0,1942196.3275703164,0.6068435252920266,0.9421585426210363,12924
23,11000.0,50.0,8.0,0.30000000000000004,2216659.7963733943,0.6001375242850833,0.9685831493273602,11442
24,11000.0,50.0,6.0,0.0,2338761.9181555985,0.6067526831298901,0.9468312817067247,12584
25,11000.0,50.0,6.0,0.0,2172654.7025191793,0.6022833948804059,0.9510463911380773,12474
26,11000.0,50.0,13.0,0.30000000000000004,2735288.958823096,0.6001736692208015,0.9661120296159349,10266
27,11000.0,50.0,10.0,0.30000000000000004,2921649.527085737,0.6001503614671418,0.9665815850313609,10862
28,11000.0,50.0,11.0,0.0,2516508.551012031,0.613344112515788,0.9420849256296342,10474
29,11000.0,50.0,10.0,0.30000000000000004,2394514.323346144,0.6001308585773419,0.9674658160373816,10857
30,12000.0,50.0,12.0,0.5,2388847.7905731527,0.6000728950379383,0.9789651956188195,10557
31,11000.0,50.0,11.0,0.0,3003674.369959316,0.6181910972262266,0.945603781484044,10584
32,11000.0,50.0,7.0,0.0,2269063.382627195,0.608715435083815,0.9407847654614055,11944
33,11000.0,45.0,7.0,0.0,2451375.2747716876,0.6041168542510872,0.9517992578069318,12744
34,11000.0,45.0,9.0,0.7000000000000001,2830832.580926797,0.6001129862940864,0.9873157717988954,11594
35,11000.0,50.0,11.0,0.30000000000000004,2849346.51370359,0.6001367392718081,0.967209408277482,10602
36,11000.0,50.0,6.0,0.0,1897173.5954376063,0.6224339581601932,0.9450772366188227,12674
37,11000.0,50.0,13.0,0.30000000000000004,2756022.43520508,0.6001530776091983,0.9645729750618308,10273
38,11000.0,50.0,7.0,0.0,2209169.964893842,0.6171086397670813,0.9494851033707596,12024
39,11000.0,45.0,9.0,0.0,2657391.6936301207,0.602693214032447,0.9405478063022754,11934
40,11000.0,50.0,6.0,0.0,2388357.85684565,0.6156764915149711,0.9424412531160793,12204
41,11000.0,50.0,8.0,0.0,2781256.732320359,0.6021538817744438,0.9472005391502668,11484
42,11000.0,50.0,7.0,0.0,1955823.4575138707,0.6016399892691711,0.9455503332097804,12204
43,11000.0,50.0,7.0,0.0,2310077.3290231163,0.6053497180083516,0.9452916114685848,12024
44,11000.0,50.0,8.0,0.30000000000000004,3096021.619299937,0.6001028120962961,0.9679169644809609,11867
45,11000.0,50.0,10.0,0.0,2327594.6857316718,0.6083349729503087,0.9467549108373629,10764
46,11000.0,50.0,10.0,0.0,3002762.177567442,0.6230190291672966,0.9473953455267269,11124
47,11000.0,50.0,5.0,0.0,2142592.6856367127,0.6008405040910305,0.946928880987488,12294
48,11000.0,50.0,8.0,0.0,2659368.569428391,0.6166549762170095,0.9412898214640733,11574
49,11000.0,50.0,7.0,0.0,2518386.0589086297,0.6081674041709406,0.9493539923946672,11844
50,11000.0,50.0,13.0,0.30000000000000004,2118369.139179644,0.6001661472568358,0.966071515592751,10269
51,11000.0,50.0,9.0,0.0,2233728.500447872,0.6012528122110589,0.9404337158256001,11024
52,11000.0,50.0,4.0,0.0,2852642.525733306,0.6108967011508808,0.9451708406806956,13284
53,11000.0,50.0,14.0,0.0,2631752.28595059,0.6011557699900081,0.9461813249414716,10269
54,11000.0,45.0,7.0,0.1,2343158.7819712106,0.6000375564001361,0.9552404302950205,12644
55,11000.0,50.0,9.0,0.0,2619867.728044282,0.6060242024895716,0.9462738565753892,10944
56,11000.0,45.0,7.0,0.0,2485433.271373175,0.6108047776604009,0.9427319521778069,13104
57,11000.0,50.0,15.0,0.30000000000000004,3100666.5420474075,0.6002087406203189,0.9623452891785123,10106
58,11000.0,50.0,12.0,0.30000000000000004,2462468.689628934,0.6001333637572184,0.967210585596249,10434
59,11000.0,50.0,8.0,0.0,2652190.0197657244,0.6167448665976717,0.9468820806000777,11504
60,11000.0,50.0,11.0,0.1,2177205.709738639,0.6001419854451038,0.9556518328946148,10844
61,11000.0,50.0,11.0,0.30000000000000004,2350658.553919669,0.6001327898787902,0.9676287209457081,10686
62,11000.0,50.0,15.0,0.30000000000000004,2467764.7589242915,0.6001915903295649,0.9651325673305657,10101
63,11000.0,50.0,6.0,0.4,2679409.986477036,0.6000782669211676,0.9699981946250986,12164
64,11000.0,50.0,7.0,0.0,2442955.3580837483,0.615811323039499,0.9472839190756248,11934
65,11000.0,50.0,11.0,0.30000000000000004,2954362.0875032404,0.6001556920393656,0.964826042181342,10695
66,11000.0,50.0,14.0,0.30000000000000004,2158082.311205972,0.6002079022943634,0.9647634918029174,10185
67,11000.0,50.0,10.0,0.0,2320839.4516080087,0.6150026951777859,0.9409393498068009,10874
68,11000.0,50.0,8.0,0.0,2064107.9214470047,0.603084028228009,0.9467734581651214,11844
69,11000.0,50.0,6.0,0.30000000000000004,1903275.036719998,0.6001021257340147,0.9614372354076596,12174
70,12000.0,50.0,14.0,0.7000000000000001,3028800.1882924363,0.6001843384071043,0.9912810711584661,10204
71,11000.0,45.0,7.0,0.0,2769986.920288696,0.6003412072659376,0.9395934648373561,12924
72,11000.0,50.0,7.0,0.0,2604063.139316381,0.6088385181722917,0.9412088578703705,12364
73,11000.0,50.0,7.0,0.30000000000000004,2111680.0585766546,0.6002199585933361,0.9691647257963818,12168
74,11000.0,50.0,12.0,0.30000000000000004,2846090.7748645926,0.6001684739287614,0.965736033375157,10523
75,11000.0,50.0,8.0,0.0,2809449.2085441696,0.6073120527606195,0.9494217730193937,11214
76,11000.0,50.0,8.0,0.6000000000000001,2490745.483285501,0.6000623530154696,0.9860853454705557,11279
77,11000.0,50.0,9.0,0.0,2581589.7727655806,0.6049978702474569,0.9482618694252875,11054
78,11000.0,50.0,8.0,0.0,2464203.8842473105,0.6143568218278486,0.9461151768990111,11934
79,11000.0,50.0,11.0,0.30000000000000004,2947176.9806902055,0.6001630953596616,0.9655317963899052,10609
80,10000.0,50.0,6.0,0.0,1897837.7482124446,0.6192192780924383,0.9401664533878911,12474
81,11000.0,50.0,9.0,0.5,2370637.059916623,0.6001670289523076,0.9739484835478518,10954
82,11000.0,50.0,13.0,0.30000000000000004,2474559.8652332486,0.60016177078216,0.9668868857823968,10266
83,11000.0,45.0,6.0,0.6000000000000001,2131352.819999085,0.6000725070457943,0.9797480877198371,13314
84,11000.0,50.0,9.0,0.0,2431812.133864486,0.6199889089689665,0.9473934516354376,11304
85,11000.0,50.0,10.0,0.0,2751897.028562383,0.6219573605744264,0.9447076405258612,11044
86,11000.0,50.0,7.0,0.0,2465262.7571339216,0.6079912125805479,0.9398560513016263,12204
87,11000.0,50.0,7.0,0.4,2321181.2176503413,0.6000243189623333,0.9716271163441228,12004
88,11000.0,50.0,9.0,0.30000000000000004,3100577.2369332737,0.6001097789696843,0.966640478966272,11512
89,11000.0,50.0,7.0,0.30000000000000004,2029915.3450167407,0.6001332100170118,0.9685581768094558,11779
90,11000.0,50.0,10.0,0.0,2829077.013254916,0.6063965546466068,0.9455200628880399,10644
91,11000.0,50.0,10.0,0.30000000000000004,2180274.5799652673,0.6001211818411127,0.9678694467244982,11104
92,11000.0,50.0,7.0,0.0,2637039.8432279285,0.601347338198489,0.9463848635760104,11604
93,12000.0,50.0,13.0,0.8,2915925.3714191345,0.6000440074303706,0.9981752817548475,10354
94,11000.0,50.0,10.0,0.0,2387122.622816923,0.6160795026568728,0.9416729986622876,10854
95,11000.0,50.0,8.0,0.30000000000000004,3099145.304754461,0.600094344397667,0.9675688576951831,11703
96,11000.0,50.0,5.0,0.0,2209901.417867308,0.6201619201404454,0.9455241574162129,12744
97,11000.0,50.0,10.0,0.0,2548524.579157406,0.6180252945939995,0.9448158786445754,10994
98,12000.0,50.0,12.0,0.6000000000000001,2581723.352756867,0.6001303574216207,0.9853608413586984,10629
99,11000.0,50.0,12.0,0.1,2380895.7741701077,0.600027296970395,0.9550420189419982,10591
100,11000.0,50.0,7.0,0.30000000000000004,2862380.2623695363,0.6001286782739423,0.967859225138959,12038
101,11000.0,50.0,9.0,0.30000000000000004,2970669.6394281005,0.6001645611458516,0.9678446208332634,11107
102,11000.0,50.0,10.0,0.0,2675852.1479814695,0.6170082387358513,0.9480476211207413,10584
103,11000.0,45.0,7.0,0.0,2889214.5602258015,0.6007726503670647,0.9435154570524455,12744
104,11000.0,50.0,9.0,0.30000000000000004,2918279.0510685346,0.6001320860868082,0.9666229244123596,11114
105,11000.0,50.0,9.0,0.0,2678049.7773308624,0.6000579387332877,0.9411707805701087,10944
106,11000.0,50.0,11.0,0.30000000000000004,2535564.638095212,0.6001496633539534,0.9670213069326764,10602
107,11000.0,50.0,10.0,0.0,2817318.005023424,0.6104270736823173,0.9383203239638533,10764
108,11000.0,50.0,12.0,0.0,2709682.5773642645,0.6008808676246205,0.9464897931573462,10690
109,11000.0,50.0,7.0,0.0,2215237.663982812,0.6076288880149421,0.9444565512356609,12204
110,11000.0,50.0,5.0,0.4,2395493.937317102,0.6000676989863698,0.9750680590901647,12718
111,11000.0,50.0,15.0,0.0,2465543.8416105523,0.6016880748409053,0.9479467455797436,10182
112,11000.0,50.0,8.0,0.30000000000000004,2242476.640119861,0.6001120953661564,0.9681822974803234,11526
113,11000.0,50.0,8.0,0.0,2461713.6113684927,0.6038695693574634,0.9435218570632992,11394
114,11000.0,50.0,10.0,0.0,2864462.425881503,0.6073117940796378,0.9448834007515907,10764
115,11000.0,50.0,5.0,0.0,2582749.557544494,0.6011786245895392,0.9413067452228883,13164
116,11000.0,50.0,12.0,0.30000000000000004,3170036.1858438337,0.6001452293303049,0.9659469717278155,10437
117,11000.0,50.0,14.0,0.30000000000000004,2968715.738052242,0.6001697937386756,0.9649369668575155,10185
118,11000.0,50.0,7.0,0.30000000000000004,2284867.6779515157,0.6001299156002043,0.9691539663426609,12369
119,11000.0,50.0,11.0,0.30000000000000004,2542298.4216400683,0.6001517191488726,0.9660304293326243,10777
120,11000.0,50.0,4.0,0.0,2869892.4667334226,0.6008369089745027,0.9483551381766615,13284
121,11000.0,45.0,7.0,0.5,2106804.5951366164,0.6000053246518388,0.9780327096262103,12604
122,11000.0,50.0,8.0,0.0,2838309.5640878235,0.6014234333309445,0.9507367493495595,11574
123,11000.0,50.0,10.0,0.30000000000000004,2845315.4017445683,0.6001486439330739,0.9653326945045088,10946
124,11000.0,50.0,12.0,0.30000000000000004,2926667.3374632327,0.6001449398468477,0.9656918993020076,10522
125,11000.0,50.0,7.0,0.30000000000000004,2179811.412645298,0.6001416580755736,0.9690592320987541,11777
126,11000.0,50.0,5.0,0.0,2446419.1647952795,0.6194930545515569,0.9488262283964591,13104
127,11000.0,50.0,11.0,0.30000000000000004,2357162.6463270057,0.6001256518276274,0.9664642088582256,10603
128,11000.0,50.0,7.0,0.0,1928650.4273748614,0.6027575309951669,0.9469496562824222,11754
129,11000.0,50.0,6.0,0.30000000000000004,2676524.944036765,0.6001035488535912,0.9683454583825519,12391
130,11000.0,50.0,12.0,0.30000000000000004,2597266.2943125153,0.6001405017952579,0.9662035488626961,10438
131,11000.0,50.0,12.0,0.30000000000000004,2047705.3280861382,0.6001413708274761,0.9671101881921139,10434
132,11000.0,50.0,15.0,0.30000000000000004,3044343.877184616,0.6002417639966473,0.9616967770993664,10102
133,11000.0,50.0,11.0,0.30000000000000004,2862337.6847873293,0.6001556854471838,0.9653198612822963,10691
134,11000.0,50.0,8.0,0.0,2968231.0019037467,0.6082328858591391,0.943958817817385,11844
135,11000.0,50.0,12.0,0.30000000000000004,2099796.2116691885,0.6001484898905939,0.9669464073623796,10432
136,11000.0,50.0,9.0,0.8,2942848.2822458297,0.6001474645822967,0.9977898162346549,10954
137,11000.0,50.0,6.0,0.0,2417471.175352633,0.6004463320896408,0.9461677331201516,12564
138,11000.0,50.0,3.0,0.0,2345966.919217661,0.6009264084295427,0.9443110813599535,13374
139,11000.0,50.0,9.0,0.0,2212975.6198057164,0.6105184350026498,0.9421554744390115,11404
140,11000.0,50.0,9.0,0.0,2813421.1856536344,0.6005190473240449,0.9500648473956633,11443
141,11000.0,50.0,10.0,0.30000000000000004,2295759.8317895033,0.6001348019088399,0.9674453994962205,10938
142,11000.0,50.0,13.0,0.30000000000000004,2127750.000144217,0.6001873317043684,0.9669743834839738,10350
143,11000.0,50.0,13.0,0.30000000000000004,2948328.3587997365,0.6002022873680302,0.964813952929705,10357
144,11000.0,50.0,7.0,0.30000000000000004,2889886.6729680086,0.6000933637426038,0.9683486677320206,12049
145,11000.0,45.0,6.0,0.1,2567911.4523506407,0.6001305334388878,0.9490419930973597,13344
146,11000.0,50.0,9.0,0.0,2365752.0347748576,0.6092868230314941,0.9487234307965535,11104
147,11000.0,50.0,11.0,0.30000000000000004,2853040.8946973835,0.600169225557042,0.9654826575661654,10690
148,11000.0,50.0,8.0,0.1,2496808.793027294,0.6002055369804999,0.9553413843882822,11294
149,11000.0,50.0,8.0,0.0,2744815.2624165034,0.6070930449449152,0.9466470635216963,11304
150,11000.0,50.0,12.0,0.30000000000000004,2113353.242830512,0.6001736885886435,0.9662164890267405,10521
151,11000.0,50.0,15.0,0.30000000000000004,2700367.423690135,0.6001833246555328,0.9645539660361008,10098
152,11000.0,50.0,10.0,0.30000000000000004,2526319.6153415293,0.6001575691273047,0.9676678546079917,10854
153,10000.0,50.0,4.0,0.0,2699561.147772534,0.6188209102066886,0.9444383135189851,13284
154,11000.0,45.0,6.0,0.0,2189808.1791314883,0.6005534676178275,0.9418600650357346,13464
155,11000.0,50.0,8.0,0.1,2108014.492585605,0.6000034862018659,0.9507440895728405,11474
156,11000.0,50.0,5.0,0.0,2865880.163374199,0.611084653352129,0.9485894088486082,12744
157,11000.0,50.0,10.0,0.30000000000000004,3033005.2226399034,0.6001533013949347,0.967607195909668,10771
158,11000.0,50.0,14.0,0.0,2884867.8464529603,0.6007606947125026,0.9473465378954662,10266
159,11000.0,50.0,8.0,0.0,2818539.2765939655,0.6216211725119133,0.9419614108470494,12114
160,11000.0,50.0,5.0,0.0,2774813.8151007704,0.6046028041393163,0.9470676668044081,12384
161,11000.0,50.0,15.0,0.30000000000000004,2637065.051528244,0.6001614987914966,0.965498329088902,10097
162,11000.0,50.0,15.0,0.30000000000000004,2462504.926742228,0.6001875552921938,0.9660328669537951,10097
163,11000.0,50.0,8.0,0.0,2632056.5742505966,0.6017738768392293,0.9489153889375667,11304
164,11000.0,45.0,11.0,0.0,2849762.1914669694,0.600673945690945,0.9453066509179492,10854
165,11000.0,45.0,11.0,0.0,2683320.8082814347,0.607163728216802,0.9447946798532799,10944
166,12000.0,50.0,12.0,0.6000000000000001,2894420.6498321127,0.6000435590986777,0.9852417804245905,10548
167,10000.0,50.0,3.0,0.0,2465121.5771397427,0.6178107168530969,0.9441950155259757,13284
168,11000.0,50.0,6.0,0.0,2340350.890832146,0.603375215829214,0.947883066979077,12474
169,11000.0,50.0,5.0,0.0,2410876.7288402445,0.6183630029193923,0.9427638837803025,13034
170,11000.0,50.0,11.0,0.0,2894605.155507885,0.6054331532463884,0.9462911980861274,10324
